experiment_id,desired_scenario,description,candidate_scenario,adaptive_behavior,given_similarity,when_similarity,then_similarity,given_parametric_similarity,given_structural_similarity,given_structural_penalty,given_shared_params,given_missing_in_candidate,given_extra_in_candidate,when_parametric_similarity,when_structural_penalty,then_parametric_similarity,then_structural_penalty,final_similarity
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.4545454545454546,1.0,0.9523809523809523,1.0,0.45454545454545453,0.5454545454545454,finger_contacts,lateral_friction,objects_object_1_mass;object_lift_height_cm;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8023088023088022
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.5,1.0,0.5040957894736842,1.0,0.5,0.5,finger_contacts,lateral_friction,object_lift_height_cm,1.0,0.0,0.97778,0.4736842105263158,0.6680319298245614
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0,1.0,0.5,0.0,0.0,1.0,,finger_contacts;lateral_friction,object_lift_height_cm;grip_pressure,1.0,0.0,1.0,0.5,0.5
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,finger_contacts;lateral_friction,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,omit height,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,finger_contacts;lateral_friction,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9090909090909091,1.0,1.0,1.0,0.9090909090909091,0.09090909090909094,object_lift_height_cm,,finger_contacts,1.0,0.0,1.0,0.0,0.9696969696969697
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.16666666666666663,object_lift_height_cm,,finger_contacts;lateral_friction,1.0,0.0,1.0,0.0,0.9444444444444445
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.7692307692307692,1.0,0.9523809523809523,1.0,0.7692307692307692,0.23076923076923084,object_lift_height_cm,,objects_object_1_mass;finger_contacts;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.9072039072039072
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.9090909090909091,1.0,0.5040957894736842,1.0,0.9090909090909091,0.09090909090909094,object_lift_height_cm,,finger_contacts,1.0,0.0,0.97778,0.4736842105263158,0.8043955661881977
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.9090909090909091,1.0,0.5,1.0,0.9090909090909091,0.09090909090909094,object_lift_height_cm,,grip_pressure,1.0,0.0,1.0,0.5,0.8030303030303031
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,height only,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9090909090909091,1.0,1.0,1.0,0.9090909090909091,0.09090909090909094,finger_contacts,,object_lift_height_cm,1.0,0.0,1.0,0.0,0.9696969696969697
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.16666666666666663,finger_contacts,,object_lift_height_cm;lateral_friction,1.0,0.0,1.0,0.0,0.9444444444444445
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.7692307692307692,1.0,0.9523809523809523,1.0,0.7692307692307692,0.23076923076923084,finger_contacts,,objects_object_1_mass;object_lift_height_cm;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.9072039072039072
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.9090909090909091,1.0,0.5040957894736842,1.0,0.9090909090909091,0.09090909090909094,finger_contacts,,object_lift_height_cm,1.0,0.0,0.97778,0.4736842105263158,0.8043955661881977
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0,1.0,0.5,0.0,0.0,1.0,,finger_contacts,object_lift_height_cm;grip_pressure,1.0,0.0,1.0,0.5,0.5
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,finger_contacts,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,contacts only,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,finger_contacts,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.6208333333333333,1.0,1.0,0.7875,0.8333333333333334,0.16666666666666663,lateral_friction,,object_lift_height_cm;finger_contacts,1.0,0.0,1.0,0.0,0.8736111111111112
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0,1.0,1.0,0.0,0.0,1.0,,lateral_friction,object_lift_height_cm;finger_contacts,1.0,0.0,1.0,0.0,0.6666666666666666
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0,1.0,0.9523809523809523,0.0,0.0,1.0,,lateral_friction,objects_object_1_mass;finger_contacts;object_lift_height_cm;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.6507936507936508
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0,1.0,0.5040957894736842,0.0,0.0,1.0,,lateral_friction,object_lift_height_cm;finger_contacts,1.0,0.0,0.97778,0.4736842105263158,0.5013652631578948
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0,1.0,0.5,0.0,0.0,1.0,,lateral_friction,object_lift_height_cm;grip_pressure,1.0,0.0,1.0,0.5,0.5
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,lateral_friction,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,friction only,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,lateral_friction,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.698397435897436,1.0,1.0,0.9291666666666667,0.7692307692307693,0.23076923076923073,object_lift_height_cm;finger_contacts;lateral_friction,objects_object_1_mass,,1.0,0.0,1.0,0.0,0.899465811965812
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.7072633333333332,1.0,0.9523809523809523,0.9572633333333332,0.75,0.25,object_lift_height_cm;finger_contacts;objects_object_1_mass,lateral_friction,joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8865480952380951
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.5263157894736842,1.0,1.0,1.0,0.5263157894736842,0.4736842105263158,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass,,1.0,0.0,1.0,0.0,0.8421052631578947
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.5263157894736842,1.0,0.5040957894736842,1.0,0.5263157894736842,0.4736842105263158,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass,,1.0,0.0,0.97778,0.4736842105263158,0.6768038596491227
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.26315789473684204,1.0,0.5,1.0,0.2631578947368421,0.736842105263158,object_lift_height_cm,finger_contacts;lateral_friction;objects_object_1_mass,grip_pressure,1.0,0.0,1.0,0.5,0.587719298245614
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,incremental step1 add mass,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.5541666666666667,1.0,1.0,0.9291666666666667,0.625,0.375,object_lift_height_cm;finger_contacts;lateral_friction,objects_object_1_mass;gripper_width_cm,,1.0,0.0,1.0,0.0,0.8513888888888889
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.5695082312925169,1.0,0.9523809523809523,0.9572633333333332,0.6122448979591837,0.3877551020408163,object_lift_height_cm;finger_contacts;objects_object_1_mass,lateral_friction;gripper_width_cm,joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8406297278911564
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.42553191489361697,1.0,1.0,1.0,0.425531914893617,0.574468085106383,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass;gripper_width_cm,,1.0,0.0,1.0,0.0,0.8085106382978724
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.42553191489361697,1.0,0.5040957894736842,1.0,0.425531914893617,0.574468085106383,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass;gripper_width_cm,,1.0,0.0,0.97778,0.4736842105263158,0.6432092347891004
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.2127659574468086,1.0,0.5,1.0,0.21276595744680854,0.7872340425531914,object_lift_height_cm,finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm,grip_pressure,1.0,0.0,1.0,0.5,0.5709219858156028
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,incremental step2 add mass gripper width,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.4554824561403509,1.0,1.0,0.9291666666666667,0.5263157894736842,0.4736842105263158,object_lift_height_cm;finger_contacts;lateral_friction,objects_object_1_mass;gripper_width_cm;grasp_attempts,,1.0,0.0,1.0,0.0,0.8184941520467836
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.4745047126436781,1.0,0.9523809523809523,0.9572633333333332,0.5172413793103449,0.48275862068965514,object_lift_height_cm;finger_contacts;objects_object_1_mass,lateral_friction;gripper_width_cm;grasp_attempts,joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8089618883415435
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.3571428571428572,1.0,1.0,1.0,0.35714285714285715,0.6428571428571428,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass;gripper_width_cm;grasp_attempts,,1.0,0.0,1.0,0.0,0.7857142857142857
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.3571428571428572,1.0,0.5040957894736842,1.0,0.35714285714285715,0.6428571428571428,object_lift_height_cm;finger_contacts,lateral_friction;objects_object_1_mass;gripper_width_cm;grasp_attempts,,1.0,0.0,0.97778,0.4736842105263158,0.6204128822055138
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.1785714285714286,1.0,0.5,1.0,0.17857142857142858,0.8214285714285714,object_lift_height_cm,finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm;grasp_attempts,grip_pressure,1.0,0.0,1.0,0.5,0.5595238095238095
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm;grasp_attempts,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,incremental step3 add mass gripper width grasp attempts,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction;objects_object_1_mass;gripper_width_cm;grasp_attempts,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9500000000000001,1.0,1.0,0.9500000000000001,1.0,0.0,object_lift_height_cm;finger_contacts;lateral_friction,,,1.0,0.0,1.0,0.0,0.9833333333333334
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.6896551724137931,1.0,1.0,1.0,0.6896551724137931,0.31034482758620685,object_lift_height_cm;finger_contacts,lateral_friction,,1.0,0.0,1.0,0.0,0.896551724137931
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.6451612903225806,1.0,0.9523809523809523,1.0,0.6451612903225806,0.3548387096774194,object_lift_height_cm;finger_contacts,lateral_friction,objects_object_1_mass;joint_torque,1.0,0.0,1.0,0.04761904761904767,0.8658474142345108
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6896551724137931,1.0,0.5040957894736842,1.0,0.6896551724137931,0.31034482758620685,object_lift_height_cm;finger_contacts,lateral_friction,,1.0,0.0,0.97778,0.4736842105263158,0.7312503206291591
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.3448275862068966,1.0,0.5,1.0,0.3448275862068966,0.6551724137931034,object_lift_height_cm,finger_contacts;lateral_friction,grip_pressure,1.0,0.0,1.0,0.5,0.6149425287356322
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0,1.0,0.5,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction,joint_torque;motor_temperature,1.0,0.0,1.0,0.5,0.5
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,friction 0.340,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0,1.0,0,0.0,0.0,1.0,,object_lift_height_cm;finger_contacts;lateral_friction,vacuum_level;ambient_temperature,1.0,0.0,0.0,1.0,0.3333333333333333
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,friction 0.335,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9458333333333333,1.0,1.0,0.9458333333333333,1.0,0.0,object_lift_height_cm;finger_contacts;lateral_friction,,,1.0,0.0,1.0,0.0,0.9819444444444444
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,friction 0.335,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.6896551724137931,1.0,1.0,1.0,0.6896551724137931,0.31034482758620685,object_lift_height_cm;finger_contacts,lateral_friction,,1.0,0.0,1.0,0.0,0.896551724137931
