desired_scenario,given,category,height_op,height_value,contacts_op,contacts_value,friction_op,friction_value,top1_candidate_name,top1_is_reference,is_exact_tie_at_top,margin_signed
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C02_F10,object_lift_height_cm < 5 AND finger_contacts < 2 AND lateral_friction >= 1.000,Combined,<,5.0,<,2.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.023201609195402262
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F01,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.100,Threshold-only,<,5.0,<,3.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07875716475095773
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F02,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.300,Threshold-only,<,5.0,<,3.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13431272030651342
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F03,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.315,Threshold-only,<,5.0,<,3.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13847938697317996
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F04,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.330,Threshold-only,<,5.0,<,3.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.14264605363984673
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F05,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.400,Threshold-only,<,5.0,<,3.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.1620904980842911
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F06,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 0.500,Threshold-only,<,5.0,<,3.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.13986827586206896
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F07,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction <= 1.000,Threshold-only,<,5.0,<,3.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09542383141762456
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F08,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction >= 0.315,Combined,<,5.0,<,3.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.055701609195402346
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F09,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction >= 0.500,Combined,<,5.0,<,3.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.05097938697318005
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C03_F10,object_lift_height_cm < 5 AND finger_contacts < 3 AND lateral_friction >= 1.000,Combined,<,5.0,<,3.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.05097938697318005
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F01,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.100,Threshold-only,<,5.0,<,4.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.08801660919540222
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F02,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.300,Threshold-only,<,5.0,<,4.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.1435721647509577
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F03,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.315,Threshold-only,<,5.0,<,4.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.14773883141762445
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F04,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.330,Threshold-only,<,5.0,<,4.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.1519054980842911
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F05,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.400,Threshold-only,<,5.0,<,4.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.17134994252873548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F06,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 0.500,Threshold-only,<,5.0,<,4.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.14912772030651333
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F07,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction <= 1.000,Threshold-only,<,5.0,<,4.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.10468327586206894
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F08,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction >= 0.315,Combined,<,5.0,<,4.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.06496105363984672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F09,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction >= 0.500,Combined,<,5.0,<,4.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.06023883141762432
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C04_F10,object_lift_height_cm < 5 AND finger_contacts < 4 AND lateral_friction >= 1.000,Combined,<,5.0,<,4.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.06023883141762432
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F01,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.100,Threshold-only,<,5.0,<,5.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.09264605363984668
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F02,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.300,Threshold-only,<,5.0,<,5.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.14820160919540226
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F03,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.315,Threshold-only,<,5.0,<,5.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.1523682758620688
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F04,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.330,Threshold-only,<,5.0,<,5.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.15653494252873557
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F05,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.400,Threshold-only,<,5.0,<,5.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.17597938697318005
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F06,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 0.500,Threshold-only,<,5.0,<,5.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.1537571647509579
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F07,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction <= 1.000,Threshold-only,<,5.0,<,5.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.10931272030651329
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F08,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction >= 0.315,Combined,<,5.0,<,5.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.06959049808429107
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F09,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction >= 0.500,Combined,<,5.0,<,5.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.06486827586206889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C05_F10,object_lift_height_cm < 5 AND finger_contacts < 5 AND lateral_friction >= 1.000,Combined,<,5.0,<,5.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.06486827586206889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F01,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.100,Combined,<,5.0,>=,1.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F02,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.300,Combined,<,5.0,>=,1.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F03,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.315,Combined,<,5.0,>=,1.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F04,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.330,Combined,<,5.0,>=,1.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F05,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.400,Combined,<,5.0,>=,1.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F06,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 0.500,Combined,<,5.0,>=,1.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F07,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction <= 1.000,Combined,<,5.0,>=,1.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F08,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction >= 0.315,Combined,<,5.0,>=,1.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F09,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction >= 0.500,Combined,<,5.0,>=,1.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C06_F10,object_lift_height_cm < 5 AND finger_contacts >= 1 AND lateral_friction >= 1.000,Combined,<,5.0,>=,1.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F01,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.100,Combined,<,5.0,>=,2.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F02,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.300,Combined,<,5.0,>=,2.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F03,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.315,Combined,<,5.0,>=,2.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F04,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.330,Combined,<,5.0,>=,2.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F05,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.400,Combined,<,5.0,>=,2.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F06,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 0.500,Combined,<,5.0,>=,2.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F07,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction <= 1.000,Combined,<,5.0,>=,2.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F08,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction >= 0.315,Combined,<,5.0,>=,2.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F09,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction >= 0.500,Combined,<,5.0,>=,2.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C07_F10,object_lift_height_cm < 5 AND finger_contacts >= 2 AND lateral_friction >= 1.000,Combined,<,5.0,>=,2.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F01,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.100,Combined,<,5.0,>=,3.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F02,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.300,Combined,<,5.0,>=,3.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F03,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.315,Combined,<,5.0,>=,3.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F04,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.330,Combined,<,5.0,>=,3.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F05,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.400,Combined,<,5.0,>=,3.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F06,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 0.500,Combined,<,5.0,>=,3.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F07,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction <= 1.000,Combined,<,5.0,>=,3.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F08,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction >= 0.315,Combined,<,5.0,>=,3.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F09,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction >= 0.500,Combined,<,5.0,>=,3.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C08_F10,object_lift_height_cm < 5 AND finger_contacts >= 3 AND lateral_friction >= 1.000,Combined,<,5.0,>=,3.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F01,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.100,Combined,<,5.0,>=,4.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F02,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.300,Combined,<,5.0,>=,4.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F03,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.315,Combined,<,5.0,>=,4.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F04,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.330,Combined,<,5.0,>=,4.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F05,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.400,Combined,<,5.0,>=,4.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F06,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 0.500,Combined,<,5.0,>=,4.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F07,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction <= 1.000,Combined,<,5.0,>=,4.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F08,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction >= 0.315,Combined,<,5.0,>=,4.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F09,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction >= 0.500,Combined,<,5.0,>=,4.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C09_F10,object_lift_height_cm < 5 AND finger_contacts >= 4 AND lateral_friction >= 1.000,Combined,<,5.0,>=,4.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F01,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.100,Combined,<,5.0,>=,5.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.07716
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F02,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.300,Combined,<,5.0,>=,5.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13271555555555548
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F03,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.315,Combined,<,5.0,>=,5.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.13688222222222224
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F04,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.330,Combined,<,5.0,>=,5.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.141048888888889
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F05,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.400,Combined,<,5.0,>=,5.0,<=,0.4,Lift Slip — Low Friction Surface,True,False,0.16049333333333338
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F06,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 0.500,Combined,<,5.0,>=,5.0,<=,0.5,Lift Slip — Low Friction Surface,True,False,0.138271111111111
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F07,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction <= 1.000,Combined,<,5.0,>=,5.0,<=,1.0,Lift Slip — Low Friction Surface,True,False,0.09382666666666672
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F08,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction >= 0.315,Combined,<,5.0,>=,5.0,>=,0.315,Lift Slip — Low Friction Surface,True,False,0.05410444444444451
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F09,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction >= 0.500,Combined,<,5.0,>=,5.0,>=,0.5,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H01_C10_F10,object_lift_height_cm < 5 AND finger_contacts >= 5 AND lateral_friction >= 1.000,Combined,<,5.0,>=,5.0,>=,1.0,Lift Slip — Low Friction Surface,True,False,0.049382222222222216
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H02_C01_F01,object_lift_height_cm < 9 AND finger_contacts < 1 AND lateral_friction <= 0.100,Threshold-only,<,9.0,<,1.0,<=,0.1,Lift Slip — Low Friction Surface,True,False,0.08184327586206885
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H02_C01_F02,object_lift_height_cm < 9 AND finger_contacts < 1 AND lateral_friction <= 0.300,Threshold-only,<,9.0,<,1.0,<=,0.3,Lift Slip — Low Friction Surface,True,False,0.13739883141762455
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H02_C01_F03,object_lift_height_cm < 9 AND finger_contacts < 1 AND lateral_friction <= 0.315,Threshold-only,<,9.0,<,1.0,<=,0.315,Lift Slip — Low Friction Surface,True,False,0.1415654980842913
diagnosed_LIFT_OBJECT_unanticipated__RQ2_R_H02_C01_F04,object_lift_height_cm < 9 AND finger_contacts < 1 AND lateral_friction <= 0.330,Threshold-only,<,9.0,<,1.0,<=,0.33,Lift Slip — Low Friction Surface,True,False,0.14573216475095785
