experiment_id,desired_scenario,rank,candidate_scenario,adaptive_behavior,final_similarity,is_reference_candidate
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6666666666666666,False
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A1_omit_friction,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9487103174603174,True
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.8333333333333334,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8023088023088022,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6680319298245614,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6666666666666666,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A2_omit_contacts,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9487103174603174,True
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.8333333333333334,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8023088023088022,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6680319298245614,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A3_omit_height,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,1,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9696969696969697,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,2,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9444444444444445,True
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.9072039072039072,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.8043955661881977,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.8030303030303031,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A4,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A4_height_only,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,1,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.9696969696969697,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,2,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9444444444444445,True
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.9072039072039072,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.8043955661881977,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A5,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A5_contacts_only,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8736111111111112,True
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.6666666666666666,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.6507936507936508,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.5013652631578948,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
A6,diagnosed_LIFT_OBJECT_unanticipated__RQ2_A6_friction_only,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.899465811965812,True
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,2,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8865480952380951,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,3,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.8421052631578947,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6768038596491227,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.587719298245614,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
B1,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B1_incremental_step1_add_mass,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8513888888888889,True
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,2,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8406297278911564,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,3,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.8085106382978724,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6432092347891004,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5709219858156028,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
B2,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B2_incremental_step2_add_mass_gripper_width,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.8184941520467836,True
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,2,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8089618883415435,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,3,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.7857142857142857,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.6204128822055138,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.5595238095238095,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
B3,diagnosed_LIFT_OBJECT_unanticipated__RQ2_B3_incremental_step3_add_mass_gripper_width_grasp_attempts,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9833333333333334,True
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C01,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C01_friction_0p340,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9819444444444444,True
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C02,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C02_friction_0p335,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9805555555555556,True
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C03,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C03_friction_0p330,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9798611111111111,True
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C04,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C04_friction_0p3275,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9791666666666666,True
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C05,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C05_friction_0p325,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9784722222222223,True
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C06,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C06_friction_0p3225,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9777777777777777,True
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C07,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C07_friction_0p320,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.975,True
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C09,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C09_friction_0p310,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9736111111111111,True
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C10,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C10_friction_0p305,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9722222222222222,True
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C11,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C11_friction_0p300,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9694444444444444,True
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C12,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C12_friction_0p290,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9666666666666667,True
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C13,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C13_friction_0p280,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9638888888888889,True
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,3,Cobot Industrial — Incremental Heavy Part Transfer,heavy_lift(),0.8658474142345108,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,4,Lightweight Arm Lift — Height Verification Only,extend_lift_phase(),0.7312503206291591,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,5,Cobot Lift Failure — Grip Pressure,increase_grip_pressure(),0.6149425287356322,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,6,Heavy Duty Arm — Motor Overload During Lift,reduce_lift_speed(),0.5,False
C14,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C14_friction_0p270,7,Suction Arm Lift — Vacuum Loss,emergency_vacuum_pump(),0.3333333333333333,False
C15,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C15_friction_0p260,1,Lift Slip — Low Friction Surface,apply_vacuum_assist(),0.9611111111111111,True
C15,diagnosed_LIFT_OBJECT_unanticipated__RQ2_C15_friction_0p260,2,Parallel Arm Lift — Contact Loss,reposition_and_regrip(),0.896551724137931,False
